onset	duration	begsample	endsample	offset	ai_hb
17640	30	4515841	4523520	0	-2
17670	30	4523521	4531200	0	-2
17700	30	4531201	4538880	0	-2
17730	30	4538881	4546560	0	-2
17760	30	4546561	4554240	0	-2
17790	30	4554241	4561920	0	-2
17820	30	4561921	4569600	0	-2
17850	30	4569601	4577280	0	-2
17880	30	4577281	4584960	0	-2
17910	30	4584961	4592640	0	-2
17940	30	4592641	4600320	0	-2
17970	30	4600321	4608000	0	-2
18000	30	4608001	4615680	0	-2
18030	30	4615681	4623360	0	-2
18060	30	4623361	4631040	0	-2
18090	30	4631041	4638720	0	-2
18120	30	4638721	4646400	0	-2
18150	30	4646401	4654080	0	-2
18180	30	4654081	4661760	0	-2
18210	30	4661761	4669440	0	-2
18240	30	4669441	4677120	0	-2
18270	30	4677121	4684800	0	-2
18300	30	4684801	4692480	0	-2
18330	30	4692481	4700160	0	-2
18360	30	4700161	4707840	0	-2
18390	30	4707841	4715520	0	-2
18420	30	4715521	4723200	0	-2
18450	30	4723201	4730880	0	-2
18480	30	4730881	4738560	0	-2
18510	30	4738561	4746240	0	-2
18540	30	4746241	4753920	0	-2
18570	30	4753921	4761600	0	-2
18600	30	4761601	4769280	0	-2
18630	30	4769281	4776960	0	-2
18660	30	4776961	4784640	0	-2
18690	30	4784641	4792320	0	-2
18720	30	4792321	4800000	0	-2
18750	30	4800001	4807680	0	-2
18780	30	4807681	4815360	0	-2
18810	30	4815361	4823040	0	-2
18840	30	4823041	4830720	0	-2
18870	30	4830721	4838400	0	-2
18900	30	4838401	4846080	0	-2
18930	30	4846081	4853760	0	-2
18960	30	4853761	4861440	0	-2
18990	30	4861441	4869120	0	-2
19020	30	4869121	4876800	0	-2
19050	30	4876801	4884480	0	-2
19080	30	4884481	4892160	0	-2
19110	30	4892161	4899840	0	-2
19140	30	4899841	4907520	0	-2
19170	30	4907521	4915200	0	-2
19200	30	4915201	4922880	0	-2
19230	30	4922881	4930560	0	-2
19260	30	4930561	4938240	0	-2
19290	30	4938241	4945920	0	-2
19320	30	4945921	4953600	0	-2
19350	30	4953601	4961280	0	-2
19380	30	4961281	4968960	0	-2
19410	30	4968961	4976640	0	-2
19440	30	4976641	4984320	0	-2
19470	30	4984321	4992000	0	-2
19500	30	4992001	4999680	0	-2
19530	30	4999681	5007360	0	-2
19560	30	5007361	5015040	0	-2
19590	30	5015041	5022720	0	-2
19620	30	5022721	5030400	0	-2
19650	30	5030401	5038080	0	-2
19680	30	5038081	5045760	0	-2
19710	30	5045761	5053440	0	-2
19740	30	5053441	5061120	0	-2
19770	30	5061121	5068800	0	-2
19800	30	5068801	5076480	0	-2
19830	30	5076481	5084160	0	-2
19860	30	5084161	5091840	0	-2
19890	30	5091841	5099520	0	-2
19920	30	5099521	5107200	0	-2
19950	30	5107201	5114880	0	-2
19980	30	5114881	5122560	0	-2
20010	30	5122561	5130240	0	-2
20040	30	5130241	5137920	0	-2
20070	30	5137921	5145600	0	-2
20100	30	5145601	5153280	0	-2
20130	30	5153281	5160960	0	-2
20160	30	5160961	5168640	0	-2
20190	30	5168641	5176320	0	-2
20220	30	5176321	5184000	0	-2
20250	30	5184001	5191680	0	-2
20280	30	5191681	5199360	0	-2
20310	30	5199361	5207040	0	-2
20340	30	5207041	5214720	0	-2
20370	30	5214721	5222400	0	-2
20400	30	5222401	5230080	0	-2
20430	30	5230081	5237760	0	-2
20460	30	5237761	5245440	0	-2
20490	30	5245441	5253120	0	-2
20520	30	5253121	5260800	0	-2
20550	30	5260801	5268480	0	-2
20580	30	5268481	5276160	0	-2
20610	30	5276161	5283840	0	-2
20640	30	5283841	5291520	0	-2
20670	30	5291521	5299200	0	-2
20700	30	5299201	5306880	0	-2
20730	30	5306881	5314560	0	-2
20760	30	5314561	5322240	0	-2
20790	30	5322241	5329920	0	-2
20820	30	5329921	5337600	0	-2
20850	30	5337601	5345280	0	-2
20880	30	5345281	5352960	0	-2
20910	30	5352961	5360640	0	-2
20940	30	5360641	5368320	0	-2
20970	30	5368321	5376000	0	-2
